epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
91,0.360534,0.367108,0.954300,0.954299,0.954328,0.954300,0.971739,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch91.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch91.png,172.003
92,0.359937,0.361004,0.960600,0.960595,0.960842,0.960600,0.978469,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch92.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch92.png,172.348
93,0.328647,0.357723,0.963600,0.963599,0.963653,0.963600,0.980582,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch93.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch93.png,171.355
94,0.348652,0.362474,0.958625,0.958624,0.958660,0.958625,0.980039,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch94.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch94.png,170.199
95,0.332637,0.351467,0.967375,0.967375,0.967391,0.967375,0.985163,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch95.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch95.png,170.262
96,0.353759,0.354376,0.965350,0.965350,0.965354,0.965350,0.982942,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch96.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch96.png,170.146
97,0.314042,0.370780,0.953825,0.953824,0.953880,0.953825,0.974245,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch97.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch97.png,170.414
98,0.359209,0.364332,0.953650,0.953647,0.953777,0.953650,0.971276,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch98.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch98.png,170.641
99,0.353812,0.358674,0.962625,0.962622,0.962783,0.962625,0.976707,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch99.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch99.png,169.953
100,0.334962,0.351037,0.967000,0.967000,0.967017,0.967000,0.981141,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch100.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch100.png,169.336
