epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
18,0.331220,0.386039,0.937849,0.936276,0.932732,0.941985,0.969146,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch18.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch18.png,125.508
19,0.343517,0.370990,0.954506,0.952950,0.951647,0.954389,0.981809,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch19.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch19.png,120.596
20,0.361341,0.377829,0.944803,0.943329,0.939947,0.948383,0.980115,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch20.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch20.png,99.557
21,0.367875,0.367985,0.955279,0.953417,0.955413,0.951635,0.970070,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch21.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch21.png,114.257
22,0.355706,0.369294,0.956120,0.954479,0.954467,0.954491,0.976461,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch22.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch22.png,126.166
23,0.333384,0.365511,0.956279,0.954560,0.955417,0.953747,0.985237,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch23.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch23.png,112.784
24,0.364399,0.364077,0.961323,0.959641,0.962659,0.957064,0.970505,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch24.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch24.png,99.768
25,0.336118,0.361208,0.962551,0.961122,0.961451,0.960800,0.986636,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch25.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch25.png,118.750
26,0.334922,0.357180,0.964596,0.963147,0.964812,0.961632,0.983865,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch26.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch26.png,123.147
27,0.347724,0.360008,0.964937,0.963388,0.966796,0.960522,0.983955,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch27.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch27.png,121.241
